Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

tooltipJammed,UI,Menu,,,[85ab2d]<{0}> Use {1} ([85ab2d]Jammed[-]),,,,,,,,[85ab2d]<{0}> Użyj {1} ([85ab2d]Zacięte[-]),,,,,,
tooltipLocked,UI,Menu,,,[2ea11b]<{0}>[-] Open {1} ([2ea11b]Locked[-]),,,,,,,,[2ea11b]<{0}>[-] Otwórz {1} ([2ea11b]Zamknięte[-]),,,,,,
tooltipUnlocked,UI,Menu,,,[ab8e3d]<{0}>[-] Open {1} ([ab8e3d]UnLocked[-]),,,,,,,,[ab8e3d]<{0}>[-] Otwórz {1} ([ab8e3d]Otwarte[-]),,,,,,
lootTooltipNew,UI,Use Prompt,,,[85ab2d]<{0}> Search[-] {1} [85ab2d](Untouched)[-],,,,,,,,[85ab2d]<{0}> Przeszukaj[-] {1} [85ab2d](Nietknięte)[-],,,,,,

lootEntity,UI,Use Prompt,,,<{0}> [dfc90d]Search[-]{1},<{0}> [dfc90d]Search[-]{1},,,,,,,<{0}> [dfc90d]Przeszukaj[-]{1},,,,,,
lootTooltipEmpty,UI,Use Prompt,,,[f30f0f]Empty[-] {1},[f30f0f]Empty[-] {1},,,,,,,[f30f0f]Puste[-] {1},,,,,,

pickupCrops,UI,HUD,,,"[FFFFFF]Press[-] [85ab2d]<{{0}}>[-], To Pickup [85ab2d]{0} {1} [-]",,,,,,,,"[FFFFFF]Naciśnij[-] [85ab2d]<{{0}}>[-], aby podnieść [85ab2d]{0} {1} [-]",,,,,,
pickupPrompt,UI,HUD,,,"[FFFFFF]Press[-] [85ab2d]<{{0}}>[-], To Pickup [85ab2d]{0} [-]",,,,,,,,"[FFFFFF]Naciśnij[-] [85ab2d]<{{0}}>[-], aby podnieść [85ab2d]{0} [-]",,,,,,

tooltipUnlocked,UI,Menu,,,<{0}> Use {1} ([85ab2d]Unlocked[-]),,,,,,,,<{0}> Użyj {1} ([85ab2d]Otwarte[-]),,,,,,
lootTooltipTouched,UI,Use Prompt,,,<{0}> [85ab2d]Search[-] {1},<{0}> [85ab2d]Search[-] {1},,,,,,,<{0}> [85ab2d]Przeszukaj[-] {1},,,,,,

useBlock,UI,Menu,,,<{0}> [85ab2d]use [-]{1},<{0}> [85ab2d]Use [-]{1},,,,,,,<{0}> [85ab2d]Użyj [-]{1},,,,,,
lootTooltipTouched,UI,Use Prompt,,,<{0}> [85ab2d]Search[-] {1},,,,,,,,<{0}> [85ab2d]Przeszukaj[-] {1},,,,,,


Animal Resources,UI,Menu,,,Animal Resources,,,,,,,,Zasoby Zwierzęce,,,,,,
Seeds,UI,Menu,,,Seeds,,,,,,,,Ziarna i Plony,,,,,,
Animal Resources,UI,Menu,,,Animal Resources,,,,,,,,Zasoby Zwierzęce,,,,,,
Breeding,UI,Menu,,,Breeding,,,,,,,,Rozmnażanie Bydła,,,,,,
lblCategoryScience,UI,Menu,,,Science,,,,,,,,Projekty Naukowe,,,,,,
lblCategoryDecorMisc,UI,Menu,,,Decor/Misc,,,,,,,,Ozdoby i Różności,,,,,,
Addons,UI,Menu,,,Addons,,,,,,,,Ulepszenia i Dodatki,,,,,,


FLV3 Skill Magazine,items,Food,,,Farm Life Perk Magazine,,,,,,,,Czasopismo Umiejętności Farm Life,,,,,,
FLV3SkillMagazineDesc,,item,Food,newKey,Type: Farm Life Perk Magazine.\n\nSpecial Item: Learn how to farm with all your farming needs.\n\nImproves Farm Life crafting skill for all locked items.,,,,,,,,Typ: Czasopismo Umiejętności Farm Life.\n\nPrzedmiot Specjalny: Naucz się uprawy roli i poznaj wszystkie jej sekrety.\n\nZwiększa umiejętność rzemiosła Farm Life dla wszystkich zablokowanych przedmiotów.,,,,,,

FatSoakedLogBundleDesc,,item,Tools,newKey,Wood logs soaked in fat so they burn much longer.,,,,,,,,"Drewniane polana nasączone tłuszczem, dzięki czemu palą się znacznie dłużej.",,,,,,

Chicken Breast,,item,Food,newKey,Raw Chicken Breast,,,,,,,,Surowa Pierś z Kurczaka,,,,,,
Chicken Wing,,item,Food,newKey,Raw Chicken Wing,,,,,,,,Surowe Skrzydełko z Kurczaka,,,,,,
Delmonico,,item,Food,newKey,Raw Delmonico,,,,,,,,Surowy Stek Delmonico,,,,,,
Elk Scraps,,item,Food,newKey,Raw Elk Scraps,,,,,,,,Surowe Ścinki z Łosia,,,,,,
Pork Belly,,item,Food,newKey,Raw Pork Belly,,,,,,,,Surowy Boczek Wieprzowy,,,,,,
Pork Fat,,item,Food,newKey,Raw Pork Fat,,,,,,,,Surowy Tłuszcz Wieprzowy,,,,,,
Pork Ribs,,item,Food,newKey,Raw Pork Ribs,,,,,,,,Surowe Żeberka Wieprzowe,,,,,,
Porterhouse,,item,Food,newKey,Raw Porterhouse,,,,,,,,Surowy Stek Porterhouse,,,,,,
Rump Roast,,item,Food,newKey,Raw Rump,,,,,,,,Surowy Rostbef,,,,,,
Whole Chicken,,item,Food,newKey,Raw Whole Chicken,,,,,,,,Surowy Cały Kurczak,,,,,,
Whole Salmon,,item,Food,newKey,Raw Whole Salmon,,,,,,,,Surowy Cały Łosoś,,,,,,
Lamb Chop,,item,Food,newKey,Raw Lamb Chop,,,,,,,,Surowy Kotlet Jagnięcy,,,,,,
Whole Turkey,,item,Food,newKey,Raw Whole Turkey,,,,,,,,Surowy Cały Indyk,,,,,,
Turkey Parts,,item,Food,newKey,Raw Turkey Parts,,,,,,,,Surowe Części Indyka,,,,,,
Ground Turkey,,item,Food,newKey,Raw Ground Turkey,,,,,,,,Surowe Mielone z Indyka,,,,,,
Horse Scraps,,item,Food,newKey,Raw Horse Scraps,,,,,,,,Surowe Ścinki z Konia,,,,,,
Bear Meat,,item,Food,newKey,Raw Bear Meat,,,,,,,,Surowe Mięso Niedźwiedzia,,,,,,
Alligator Meat,,item,Food,newKey,Raw Alligator Meat,,,,,,,,Surowe Mięso Aligatora,,,,,,
Lamb Rib,,item,Food,newKey,Raw Lamb Rib,,,,,,,,Surowe Żeberko Jagnięce,,,,,,
IrradiatedMeat,,item,Food,newKey,Raw Irradiated Meat,,,,,,,,Surowe Napromieniowane Mięso,,,,,,

----------------- NASIONA I UPRAWY -----------------,,,,,,,,,,,,,,,,,,,

Barley Seed,,item,Food,newKey,Barley Seedling,,,,,,,,Sadzonka Jęczmienia,,,,,,
Beet Seed,,item,Food,newKey,Beet Seedling,,,,,,,,Sadzonka Buraka,,,,,,
BellPepper Seed,,item,Food,newKey,Bell Pepper Seedling,,,,,,,,Sadzonka Papryki,,,,,,
Cabbage Seed,,item,Food,newKey,Cabbage Seedling,,,,,,,,Sadzonka Kapusty,,,,,,
Carrot Seed,,item,Food,newKey,Carrot Seedling,,,,,,,,Sadzonka Marchewki,,,,,,
Celery Seed,,item,Food,newKey,Celery Seedling,,,,,,,,Sadzonka Selera,,,,,,
CherryTomato Seed,,item,Food,newKey,Cherry Tomato Seedling,,,,,,,,Sadzonka Pomidorków Koktajlowych,,,,,,
Flax Seed,,item,Food,newKey,Flax Seedling,,,,,,,,Sadzonka Lnu,,,,,,
Garlic Seed,,item,Food,newKey,Garlic Seedling,,,,,,,,Sadzonka Czosnku,,,,,,
GhostPepper Seed,,item,Food,newKey,Ghost Pepper Seedling,,,,,,,,Sadzonka Papryki Ghost,,,,,,
Herb Seed,,item,Food,newKey,Herb Seedling,,,,,,,,Sadzonka Ziół,,,,,,
IcebergLettuce Seed,,item,Food,newKey,Iceberg Lettuce Seedling,,,,,,,,Sadzonka Sałaty Lodowej,,,,,,
Marijuana Seed,,item,Food,newKey,Dutch Marijuana Seedling,,,,,,,,Sadzonka Holenderskiej Marihuany,,,,,,
Onion Seed,,item,Food,newKey,Onion Seedling,,,,,,,,Sadzonka Cebuli,,,,,,
Pineapple Seed,,item,Food,newKey,Pineapple Seedling,,,,,,,,Sadzonka Ananasa,,,,,,
Raspberry Seed,,item,Food,newKey,Raspberry Seedling,,,,,,,,Sadzonka Maliny,,,,,,
Rice Seed,,item,Food,newKey,Rice Seedling,,,,,,,,Sadzonka Ryżu,,,,,,
Romaine Seed,,item,Food,newKey,Romaine Seedling,,,,,,,,Sadzonka Sałaty Rzymskiej,,,,,,
Rye Seed,,item,Food,newKey,Rye Seedling,,,,,,,,Sadzonka Żyta,,,,,,
Sorghum Seed,,item,Food,newKey,Sorghum Seedling,,,,,,,,Sadzonka Sorgo,,,,,,
SoyBean Seed,,item,Food,newKey,SoyBean Seedling,,,,,,,,Sadzonka Soi,,,,,,
Spinach Seed,,item,Food,newKey,Spinach Seedling,,,,,,,,Sadzonka Szpinaku,,,,,,
Squash Seed,,item,Food,newKey,Squash Seedling,,,,,,,,Sadzonka Dyni,,,,,,
Strawberry Seed,,item,Food,newKey,Strawberry Seedling,,,,,,,,Sadzonka Truskawki,,,,,,
SugarCane Seed,,item,Food,newKey,Sugar Cane Seedling,,,,,,,,Sadzonka Trzciny Cukrowej,,,,,,
Sunflower Seed,,item,Food,newKey,Sunflower Seedling,,,,,,,,Sadzonka Słonecznika,,,,,,
Tomato Seed,,item,Food,newKey,Tomato Seedling,,,,,,,,Sadzonka Pomidora,,,,,,
VineyardGrape Seed,,item,Food,newKey,Vineyard Grape Seedling,,,,,,,,Sadzonka Winogron Winniczych,,,,,,
Wheat Seed,,item,Food,newKey,Wheat Seedling,,,,,,,,Sadzonka Pszenicy,,,,,,
Green Onion Seed,,item,Food,newKey,Green Onion Seedling,,,,,,,,Sadzonka Zielonej Cebulki,,,,,,
Blackberry Seed,,item,Food,newKey,Blackberry Seedling,,,,,,,,Sadzonka Jeżyny,,,,,,
Pea Seed,,item,Food,newKey,Pea Seedling,,,,,,,,Sadzonka Grochu,,,,,,
Watermelon Seed,,item,Food,newKey,Watermelon Seedling,,,,,,,,Sadzonka Arbuza,,,,,,
Sweet Potato Seed,,item,Food,newKey,Sweet Potato Seedling,,,,,,,,Sadzonka Słodkiego Ziemniaka,,,,,,
WaterCress Seed,,item,Food,newKey,WaterCress Seedling,,,,,,,,Sadzonka Rukwi Wodnej,,,,,,
Cocoa Seed,,item,Food,newKey,Cocoa Seedling,,,,,,,,Sadzonka Kakao,,,,,,
		,,,,,,,,,,,,,,,,,,,
Barley Growing 1,,item,Food,newKey,Barley Sapling,,,,,,,,Kiełkujący Jęczmień,,,,,,
Beet Growing 1,,item,Food,newKey,Beet Sapling,,,,,,,,Kiełkujący Burak,,,,,,
BellPepper Growing 1,,item,Food,newKey,BellPepper Sapling,,,,,,,,Kiełkująca Papryka,,,,,,
Blackberry Growing 1,,item,Food,newKey,Blackberry Sapling,,,,,,,,Kiełkująca Jeżyna,,,,,,
Cabbage Growing 1,,item,Food,newKey,Cabbage Sapling,,,,,,,,Kiełkująca Kapusta,,,,,,
Carrot Growing 1,,item,Food,newKey,Carrot Sapling,,,,,,,,Kiełkująca Marchewka,,,,,,
Celery Growing 1,,item,Food,newKey,Celery Sapling,,,,,,,,Kiełkujący Seler,,,,,,
CherryTomato Growing 1,,item,Food,newKey,CherryTomato Sapling,,,,,,,,Kiełkujący Pomidor Koktajlowy,,,,,,
Flax Growing 1,,item,Food,newKey,Flax Sapling,,,,,,,,Kiełkujący Len,,,,,,
Garlic Growing 1,,item,Food,newKey,Garlic Sapling,,,,,,,,Kiełkujący Czosnek,,,,,,
GhostPepper Growing 1,,item,Food,newKey,GhostPepper Sapling,,,,,,,,Kiełkująca Papryka Ghost,,,,,,
Herb Growing 1,,item,Food,newKey,Herb Sapling,,,,,,,,Kiełkujące Zioło,,,,,,
IcebergLettuce Growing 1,,item,Food,newKey,IcebergLettuce Sapling,,,,,,,,Kiełkująca Sałata Lodowa,,,,,,
Marijuana Growing 1,,item,Food,newKey,Dutch Marijuana Sapling,,,,,,,,Kiełkująca Holenderska Marihuana,,,,,,
Onion Growing 1,,item,Food,newKey,Onion Sapling,,,,,,,,Kiełkująca Cebula,,,,,,
Pineapple Growing 1,,item,Food,newKey,Pineapple Sapling,,,,,,,,Kiełkujący Ananas,,,,,,
Raspberry Growing 1,,item,Food,newKey,Raspberry Sapling,,,,,,,,Kiełkująca Malina,,,,,,
Rice Growing 1,,item,Food,newKey,Rice Sapling,,,,,,,,Kiełkujący Ryż,,,,,,
Romaine Growing 1,,item,Food,newKey,Romaine Sapling,,,,,,,,Kiełkująca Sałata Rzymska,,,,,,
Rye Growing 1,,item,Food,newKey,Rye Sapling,,,,,,,,Kiełkujące Żyto,,,,,,
Sorghum Growing 1,,item,Food,newKey,Sorghum Sapling,,,,,,,,Kiełkujące Sorgo,,,,,,
SoyBean Growing 1,,item,Food,newKey,SoyBean Sapling,,,,,,,,Kiełkująca Soja,,,,,,
Spinach Growing 1,,item,Food,newKey,Spinach Sapling,,,,,,,,Kiełkujący Szpinak,,,,,,
Squash Growing 1,,item,Food,newKey,Squash Sapling,,,,,,,,Kiełkująca Dynia,,,,,,
Strawberry Growing 1,,item,Food,newKey,Strawberry Sapling,,,,,,,,Kiełkująca Truskawka,,,,,,
SugarCane Growing 1,,item,Food,newKey,SugarCane Sapling,,,,,,,,Kiełkująca Trzcina Cukrowa,,,,,,
Sunflower Growing 1,,item,Food,newKey,Sunflower Sapling,,,,,,,,Kiełkujący Słonecznik,,,,,,
Tomato Growing 1,,item,Food,newKey,Tomato Sapling,,,,,,,,Kiełkujący Pomidor,,,,,,
VineyardGrape Growing 1,,item,Food,newKey,VineyardGrape Sapling,,,,,,,,Kiełkujące Winogrono Winnicze,,,,,,
Wheat Growing 1,,item,Food,newKey,Wheat Sapling,,,,,,,,Kiełkująca Pszenica,,,,,,
Green Onion Growing 1,,item,Food,newKey,Green Onion Sapling,,,,,,,,Kiełkująca Zielona Cebulka,,,,,,
Pea Growing 1,,item,Food,newKey,Pea Sapling,,,,,,,,Kiełkujący Groch,,,,,,
Watermelon Growing 1,,item,Food,newKey,Watermelon Sapling,,,,,,,,Kiełkujący Arbuz,,,,,,
Sweet Potato Growing 1,,item,Food,newKey,Sweet Potato Sapling,,,,,,,,Kiełkujący Słodki Ziemniak,,,,,,
WaterCress Growing 1,,item,Food,newKey,WaterCress Sapling,,,,,,,,Kiełkująca Rukiew Wodna,,,,,,
Cocoa Growing 1,,item,Food,newKey,Cocoa Sapling,,,,,,,,Kiełkujące Kakao,,,,,,


----------------- JEDZENIE I PRZEPISY -----------------,,,,,,,,,,,,,,,,,,,

farmLifeEggsBenedictDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Żeliwnej Patelni w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

TurkeyBurgerBasketDesc,,item,Food,newKey,Type: Farm Life Food Item \nUnlocked by: Farm Life \n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life \nOdblokowane przez: Farm Life \n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeElkJerkyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Smoker Mat on a Cold Smoker. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maty do Wędzenia w Zimnej Wędzarni. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeElkScrapsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeFeedingTroughDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nNo current use for this item.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nObecnie ten przedmiot nie ma zastosowania.,,,,,,

farmLifeFloorCorkerDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. The Floor Corker is a tool used in the Brew Station for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Korkownica to narzędzie używane do rzemiosła na Stacji Piwowarskiej.,,,,,,

farmLifeFloralHopsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeFriedEggsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Żeliwnej Patelni w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeFriedHamSteakDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cast Iron Skillet with a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Żeliwnej Patelni w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeFruitPancakesDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Deski do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGarlicDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGhostPepperDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGingerRootDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGoldenMaltDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Drying Pan on a Brew Cooker. Malt is an essential ingredient for brewing beer and spirits.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Suszarki na Kuchence Piwowarskiej. Słód to niezbędny składnik do warzenia piwa i mocnych alkoholi.,,,,,,

Grinder,items,item,,,Grinder,,,,,,,,Młynek,,,,,,

farmLifeGrainMillerDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. The Grain Miller is a tool used in the KitchNaid for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Młynek do Ziarna to narzędzie używane do rzemiosła w KitchNaid.,,,,,,

farmLifeGrapeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGrapeExtractDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA necesssary ingredient for making drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nNiezbędny składnik do robienia napojów.,,,,,,

farmLifeGrapePulpDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA necesssary ingredient for Wine Making.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nNiezbędny składnik do wyrobu wina.,,,,,,

farmLifeGratedCucumberDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Veggie Attachment on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Przystawki do Warzyw w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGreenBellDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGrilledSalmonSteakDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Szczypiec na Drewnianym Grillu. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGritsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGroundBeefDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Meat Grinder on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Maszynki do Mięsa w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeGroundCinnamonDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Młynka do Ziarna w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeGroundCuminDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Młynka do Ziarna w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeGroundGingerDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Młynka do Ziarna w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeGroundHotPepperDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Grain Miller on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Młynka do Ziarna w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

